Localidad,Transecto ,Especies,Abundancia
Arroyazo,1,Elaphoglossum apodum,13.00
Arroyazo,1,Selaginella leonardii,9.00
Arroyazo,1,Microgramma piloselloides,5.00
Arroyazo,1,Elaphoglossum peltatum,4.00
Arroyazo,1,Asplenium praemorsum,2.00
Arroyazo,1,Niphidium crassifolium,4.00
Arroyazo,1,Pleopeltis squamata,2.00
Arroyazo,1,Microgramma percussa,10.00
Arroyazo,1,Olfersia cervina,2.00
Arroyazo,1,Alsophila urbanii,2.00
Arroyazo,1,Sticherus bifidus ,4.00
Arroyazo,1,Parablechnum tuerckheimii,6.00
Arroyazo,1,Alsophila fulgens ,4.00
Arroyazo,2,Elaphoglossum apodum ,22.00
Arroyazo,2,Microgramma piloselloides,7.00
Arroyazo,2,Microgramma percussa,21.00
Arroyazo,2,Parablechnum tuerckheimii,12.00
Arroyazo,2,Cyathea furfuracea,4.00
Arroyazo,2,Alsophila urbanii,8.00
Arroyazo,2,Phebodium aureum,2.00
Arroyazo,2,Phlegmariurus linifolius ,2.00
Arroyazo,2,Campyloneurum angustifolium,2.00
Arroyazo,3,Cyathea furfuracea,6.00
Arroyazo,3,Alsophila urbanii,2.00
Arroyazo,3,Cyathea sp,2.00
Arroyazo,3,Selaginella leonardii,4.00
Arroyazo,3,Saccoloma domingense,4.00
Arroyazo,3,Elaphoglossum apodum,20.00
Arroyazo,3,Microgramma piloselloides,15.00
Arroyazo,3,Melpomene moniliformis,2.00
Arroyazo,3,Blechnum occidentale ,5.00
Arroyazo,3,Serpocaulon dissimile,3.00
Arroyazo,3,Diplazium centripetale,10.00
Arroyazo,3,Campyloneurum angustifolium,2.00
Arroyazo,3,Elaphoglossum crinitum ,2.00
Arroyazo,1,Elaphoglossum apodum,13.00
Arroyazo,1,Selaginella leonardii,9.00
Arroyazo,1,Microgramma piloselloides,5.00
Arroyazo,1,Elaphoglossum peltatum,4.00
Arroyazo,1,Asplenium praemorsum,2.00
Arroyazo,1,Niphidium crassifolium,4.00
Arroyazo,1,Pleopeltis squamata,2.00
Arroyazo,1,Microgramma percussa,10.00
Arroyazo,1,Olfersia cervina,2.00
Arroyazo,1,Alsophila urbanii,2.00
Arroyazo,1,Sticherus bifidus ,4.00
Arroyazo,1,parablechnum tuerckheimii,6.00
Arroyazo,1,Alsophila fulgens ,4.00
Arroyazo,2,Elaphoglossum apodum ,22.00
Arroyazo,2,Microgramma piloselloides,7.00
Arroyazo,2,Microgramma percussa,21.00
Arroyazo,2,Parablechnum tuerckheimii,12.00
Arroyazo,2,Cyathea furfuracea,4.00
Arroyazo,2,Alsophila urbanii,8.00
Arroyazo,2,Phebodium aureum,2.00
Arroyazo,2,Phlegmariurus linifolius ,2.00
Arroyazo,2,Campyloneurum angustifolium,2.00
Arroyazo,3,Cyathea furfuracea,6.00
Arroyazo,3,Alsophila urbanii,2.00
Arroyazo,3,Selaginella leonardii,4.00
Arroyazo,3,Saccoloma domingense,4.00
Arroyazo,3,Elaphoglossum apodum,20.00
Arroyazo,3,Microgramma piloselloides,15.00
Arroyazo,3,Melpomene moniliformis,2.00
Arroyazo,3,Blechnum occidentale ,5.00
Arroyazo,3,Serpocaulon dissimile,3.00
Arroyazo,3,Diplazium centripetale,10.00
Arroyazo,3,Campyloneurum angustifolium,2.00
Arroyazo,3,Elaphoglossum crinitum ,2.00
Casabito,1,Palhinhaea pseudocurvata,2.00
Casabito,1,Pteridium caudatum,15.00
Casabito,1,Alansmia elastica,2.00
Casabito,1,Enterosora trifurcata,7.00
Casabito,1,Cochlidium serrulatum,4.00
Casabito,1,Alsophila urbanii,9.00
Casabito,1,Cyathea furfuracea,11.00
Casabito,1,Alansmia senilis,7.00
Casabito,1,Gleichenella pectinata,3.00
Casabito,1,Parablechnum tuerckheimii,10.00
Casabito,1,Hymenophyllum hirsutum ,2.00
Casabito,2,Alsophila urbanii,33.00
Casabito,2,Hymenophyllum hirsutum ,20.00
Casabito,2,Enterosora trifurcata,10.00
Casabito,2,Cyathea furfuracea,8.00
Casabito,2,Cochlidium rostratum,2.00
Casabito,3,Cyathea furfuracea,9.00
Casabito,3,Alsophila urbanii,6.00
Casabito,3,Selaginella leonardii,10.00
Casabito,3,Hymenophyllum hirsutum ,10.00
Casabito,3,Sticherus bifidus,4.00
Casabito,3,Cochlidium serrulatum,4.00
Casabito,1,Palhinhaea pseudocurvata,2.00
Casabito,1,Pteridium caudatum,15.00
Casabito,1,Alansmia elastica,2.00
Casabito,1,Enterosora trifurcata,7.00
Casabito,1,Cochlidium serrulatum,4.00
Casabito,1,Alsophila urbanii,9.00
Casabito,1,Cyathea furfuracea,11.00
Casabito,1,Alansmia senilis,7.00
Casabito,1,Gleichenella pectinata,3.00
Casabito,1,Parablechnum tuerckheimii,10.00
Casabito,1,Hymenophyllum hirsutum,2.00
Casabito,2,Alsophila urbanii,33.00
Casabito,2,Hymenophyllum hirsutum,20.00
Casabito,2,Enterosora trifurcata,10.00
Casabito,2,Cyathea furfuracea,8.00
Casabito,2,Microgramma piloselloides,2.00
Casabito,3,Cyathea furfuracea,9.00
Casabito,3,Alsophila urbanii,6.00
Casabito,3,Selaginella leonardii,10.00
Casabito,3,Hymenophyllum hirsutum,10.00
Casabito,3,Sticherus bifidus,4.00
Casabito,3,Cochlidium serrulatum,4.00
Manaclar,1,Alsophila urbanii,9.00
Manaclar,1,Lophosoria quadripinnata,2.00
Manaclar,1,Sticherus bifidus ,2.00
Manaclar,1,Saccoloma domingense,4.00
Manaclar,1,Niphidium crassifolium,4.00
Manaclar,1,diplazium centripetale,4.00
Manaclar,1,Serpocaulon dissimile,2.00
Manaclar,1,Nephrolepis brownii,8.00
Manaclar,1,Microgramma piloselloides,2.00
Manaclar,1,Pecluma sp,4.00
Manaclar,1,Blechnum occidentale,3.00
Manaclar,1,Pleopeltis astrolepis,3.00
Manaclar,1,Trichomanes scandens ,3.00
Manaclar,2,Cyathea furfuracea,7.00
Manaclar,2,Alsophila urbanii,15.00
Manaclar,2,Alsophila fulgens ,3.00
Manaclar,2,Alansmia senilis,2.00
Manaclar,2,Saccoloma domingense,10.00
Manaclar,2,Selaginella leonardii,5.00
Manaclar,2,Hymenophyllum sp,6.00
Manaclar,2,Enterosora trifurcata,4.00
Manaclar,3,Sticherus bifidus ,10.00
Manaclar,3,Gleichenella pectinata,10.00
Manaclar,3,Alsophila urbanii,7.00
Manaclar,3,Cyathea furfuracea,6.00
Manaclar,3,Alsophila abbottii,5.00
Manaclar,3,Blechnum occidentale ,2.00
Manaclar,3,Parablechnum tuerckheimii,7.00
Manaclar,3,Alansmia senilis,6.00
Manaclar,3,Enterosora trifurcata,7.00
Manaclar,3,Melpomene moniliformis,4.00
Manaclar,3,Odontosoria scandens,4.00
Manaclar,3,Elaphoglossum peltatum,15.00
Manaclar,3,Elaphoglossum apodum,3.00
Manaclar,3,Elaphoglossum crinitum ,5.00
Manaclar,1,Alsophila urbanii,9.00
Manaclar,1,Lophosoria quadripinnata,2.00
Manaclar,1,Sticherus bifidus ,2.00
Manaclar,1,Saccoloma domingense,4.00
Manaclar,1,Niphidium crassifolium,4.00
Manaclar,1,Diplazium centripetale,4.00
Manaclar,1,Serpocaulon dissimile,2.00
Manaclar,1,Nephrolepis brownii,8.00
Manaclar,1,Microgramma piloselloides,2.00
Manaclar,1,Blechnum occidentale,3.00
Manaclar,1,Pleopeltis astrolepis,3.00
Manaclar,1,Trichomanes scandens ,3.00
Manaclar,2,Cyathea furfuracea,7.00
Manaclar,2,Alsophila urbanii,15.00
Manaclar,2,Alsophila fulgens ,3.00
Manaclar,2,Alansmia senilis,2.00
Manaclar,2,Saccoloma domingense,10.00
Manaclar,2,Selaginella leonardii,5.00
Manaclar,2,Hymenophyllum sp,6.00
Manaclar,2,Enterosora trifurcata,4.00
Manaclar,3,Sticherus bifidus ,10.00
Manaclar,3,Gleichenella pectinata,10.00
Manaclar,3,Alsophila urbanii,7.00
Manaclar,3,Cyathea furfuracea,6.00
Manaclar,3,Alsophila abbottii,5.00
Manaclar,3,Blechnum occidentale ,2.00
Manaclar,3,Parablechnum tuerckheimii,7.00
Manaclar,3,Alansmia senilis,6.00
Manaclar,3,Enterosora trifurcata,7.00
Manaclar,3,Melpomene moniliformis,4.00
Manaclar,3,Odontosoria scandens,4.00
Manaclar,3,Elaphoglossum peltatum,15.00
Manaclar,3,Elaphoglossum apodum,3.00
Manaclar,3,Elaphoglossum crinitum ,5.00
